case_type,pair_id,demo_id,method,threshold,video
top1_accurate,can:demo_109:axis_impulse:t62:m1.00,can_demo_109_axis_impulse_t62_m1.00,responsibility_iter1_seed0,3.4111470315068004e-09,top1_accurate__can_demo_109_axis_impulse_t62_m1_00.mp4
top1_accurate,can:demo_109:axis_impulse:t80:m1.00,can_demo_109_axis_impulse_t80_m1.00,responsibility_iter1_seed0,3.4111470315068004e-09,top1_accurate__can_demo_109_axis_impulse_t80_m1_00.mp4
top1_accurate,can:demo_109:axis_impulse:t97:m1.00,can_demo_109_axis_impulse_t97_m1.00,responsibility_iter1_seed0,3.4111470315068004e-09,top1_accurate__can_demo_109_axis_impulse_t97_m1_00.mp4
responsible_miss,square:demo_102:zero_motion:t134:m0.50,square_demo_102_zero_motion_t134_m0.50,responsibility_iter1_seed0,3.4111470315068004e-09,responsible_miss__square_demo_102_zero_motion_t134_m0_50.mp4
responsible_miss,square:demo_115:axis_impulse:t85:m0.25,square_demo_115_axis_impulse_t85_m0.25,responsibility_iter1_seed0,3.4111470315068004e-09,responsible_miss__square_demo_115_axis_impulse_t85_m0_25.mp4
responsible_miss,square:demo_1:zero_motion:t58:m0.50,square_demo_1_zero_motion_t58_m0.50,responsibility_iter1_seed0,3.4111470315068004e-09,responsible_miss__square_demo_1_zero_motion_t58_m0_50.mp4
recovery_false_deletion,square:demo_115:flip_gripper:t75:m0.50,square_demo_115_flip_gripper_t75_m0.50,responsibility_iter1_seed0,3.4111470315068004e-09,recovery_false_deletion__square_demo_115_flip_gripper_t75_m0_50.mp4
recovery_false_deletion,square:demo_115:zero_motion:t75:m0.50,square_demo_115_zero_motion_t75_m0.50,responsibility_iter1_seed0,3.4111470315068004e-09,recovery_false_deletion__square_demo_115_zero_motion_t75_m0_50.mp4
recovery_false_deletion,can:demo_13:reverse_motion:t69:m1.00,can_demo_13_reverse_motion_t69_m1.00,responsibility_iter1_seed0,3.4111470315068004e-09,recovery_false_deletion__can_demo_13_reverse_motion_t69_m1_00.mp4
no_effect_false_attribution,can:demo_109:axis_impulse:t108:m1.00,can_demo_109_axis_impulse_t108_m1.00,responsibility_iter1_seed0,3.4111470315068004e-09,no_effect_false_attribution__can_demo_109_axis_impulse_t108_m1_00.mp4
no_effect_false_attribution,can:demo_109:zero_motion:t108:m1.00,can_demo_109_zero_motion_t108_m1.00,responsibility_iter1_seed0,3.4111470315068004e-09,no_effect_false_attribution__can_demo_109_zero_motion_t108_m1_00.mp4
no_effect_false_attribution,can:demo_10:axis_impulse:t118:m1.00,can_demo_10_axis_impulse_t118_m1.00,responsibility_iter1_seed0,3.4111470315068004e-09,no_effect_false_attribution__can_demo_10_axis_impulse_t118_m1_00.mp4
