root_id,learned_decision,selected_length,matched_fixed_method,full_trajectory_parity
square:hb3p_stop_continue_formal:800000,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800001,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800002,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800003,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800004,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800005,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800006,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800007,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800008,STOP,60,FIXED_L60,True
square:hb3p_stop_continue_formal:800009,STOP,60,FIXED_L60,True
square:hb3p_stop_continue_formal:800010,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800011,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800012,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800013,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800014,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800015,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800016,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800017,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800018,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800019,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800020,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800021,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800022,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800023,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800024,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800025,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800026,STOP,60,FIXED_L60,True
square:hb3p_stop_continue_formal:800027,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800028,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800029,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800030,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800031,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800032,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800033,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800034,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800035,STOP,60,FIXED_L60,True
square:hb3p_stop_continue_formal:800036,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800037,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800038,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800039,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800040,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800041,STOP,60,FIXED_L60,True
square:hb3p_stop_continue_formal:800042,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800043,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800044,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800045,CONTINUE,80,FIXED_L80,True
