root_id,learned_decision,selected_length,matched_fixed_method,full_trajectory_parity
square:hb3p_stop_continue_test:700000,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_test:700001,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_test:700002,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_test:700003,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_test:700004,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_test:700005,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_test:700006,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_test:700007,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_test:700008,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_test:700009,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_test:700010,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_test:700011,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_test:700012,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_test:700013,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_test:700014,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_test:700015,STOP,60,FIXED_L60,True
square:hb3p_stop_continue_test:700016,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_test:700017,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_test:700018,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_test:700019,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_test:700020,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_test:700021,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_test:700022,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_test:700023,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_test:700024,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_test:700025,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_test:700026,STOP,60,FIXED_L60,True
square:hb3p_stop_continue_test:700027,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_test:700028,STOP,60,FIXED_L60,True
square:hb3p_stop_continue_test:700029,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_test:700030,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_test:700031,STOP,60,FIXED_L60,True
square:hb3p_stop_continue_test:700032,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_test:700033,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_test:700034,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_test:700035,STOP,60,FIXED_L60,True
square:hb3p_stop_continue_test:700036,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_test:700037,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_test:700038,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_test:700039,CONTINUE,80,FIXED_L80,True
