method_id,roots,root_mean_utility,system_success_rate,autonomous_completion_rate,mean_actual_helper_steps,takeover_rate,mean_query_count,scheduled_t,planned_length
NONE,40,0.025,0.025,0.025,0.0,0.0,0.0,,0
S_20_5,40,0.046874999999999965,0.05,0.05,5.0,1.0,0.0,20,5
S_20_20,40,0.012500000000000034,0.025,0.025,20.0,1.0,0.0,20,20
S_20_80,40,0.1750000000000001,0.225,0.225,80.0,1.0,0.0,20,80
S_80_5,40,-0.0031250000000000015,0.0,0.0,5.0,1.0,0.0,80,5
S_80_20,40,0.06250000000000003,0.075,0.075,20.0,1.0,0.0,80,20
S_80_80,40,0.0005156249999999935,0.075,0.05,79.175,1.0,0.0,80,80
S_160_5,40,0.021953124999999962,0.025,0.025,4.875,0.975,0.0,160,5
S_160_20,40,0.06281249999999991,0.075,0.075,19.5,0.975,0.0,160,20
S_160_80,40,0.0016093749999999802,0.075,0.05,77.425,0.975,0.0,160,80
